,Title,Company,City,State
134,Principal Applied Data Scientist - GenAI,Vanguard ,Charlotte, NC
135,Data Engineer,CACI ,United States,
136,Senior Data Scientist / Artificial Intelligence / Machine Learning / AI/ML Scientist,Vanguard ,Charlotte, NC
137,"Associate Director, Omnichannel Data Scientist (Hybrid)",Otsuka ,Princeton, NJ
138,Sr Business Data Analyst,Citizens ,Johnston, RI
139,"FSP Senior Statistical Programmer (neuroscience) - Remote, US",PHASTAR ,Remote,
140,Data Scientist,Apple ,Austin, TX
141,Senior Business Data Analyst,NTT DATA ,Irving, TX
142,ML Engineer - Data & Advanced Analytics,Penske Truck Leasing and Logistics ,Reading, PA
143,Software Engineer II - Machine Learning focus,Disney Direct to Consumer ,United States,
144,"Sr. Manager, Decision Science Products",The Walt Disney Company Corporate ,Burbank, CA
145,Senior Software Engineer/SRE - Artificial Intelligence Group,Bloomberg ,New York, NY
146,Data Analytics & Business Intelligence (BI) Developer,Guidehouse ,Arlington, VA
147,Data Scientist IV,GCI ,United States,
148,Senior Data Science Analyst (Talent Strategy),Indiana University Health ,Indianapolis, IN
149,Data Scientist,Denken Solutions Inc ,Irving, TX
150,Decision Support Analyst,Booz Allen Hamilton ,Alexandria, VA
151,Data Entry Operator 1,FSC Edge ,United States,
152,Data Engineer,Guidehouse ,Arlington, VA
153,Data Engineer,EKS Group ,United States,
154,Applied Scientist IV,Belcan ,Seattle, WA
155,"Quality Operations Manager, Data Center",Meta ,Austin, TX
156,Machine Learning Engineer,ATR International Inc ,Cupertino, CA
157,"Research Engineer, Language - Generative AI",Meta ,Seattle, WA
158,Data Analyst - Machine Learning - TA0R086,AltaSource Group ,Portland, OR
159,Sr. AI Engineer,The Judge Group ,King of Prussia, PA
160,Senior Data Engineer,Brother USA ,Bridgewater, NJ
161,Business Analyst (with Machine Learning experience) - (NO C2C),OpTech LLC ,Remote,
162,Senior Data Scientist Managing Consultant,Guidehouse ,Chantilly, VA
163,Data Scientist,Heineken ,Petaluma, CA
164,Pharmaceutical/Biotech Market Research Data Scientist Associate Director,Guidehouse ,Atlanta, GA
165,Senior Data Engineer (Machine Learning),Precision Systems ,Remote,
166,Sr Data Engineer - NLP,Peraton ,Huntsville, AL
167,Statistical Programmer Contractor,Joule ,Tarrytown, NY
168,Data Scientist,Kforce ,Spindale, NC
